7,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
8,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
9,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
10,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
11,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
12,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
13,Mix_violin,unsmile,smile,N/A,N/A,Ziggy,smile
0,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
1,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
2,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
3,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
4,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
5,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
6,Mix_violin,NM,vib,N/A,N/A,Vibrato,vib
